date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:12:50	170/170	---M-Z	200	added ('OK')	text/plain	etag:%221783-1719920881;gz%22	https://bimbingankopas.com/robots.txt		(from )
13:12:54	70581/70581	---M-Z	200	added ('OK')	text/html	etag:%222189-1720028047;gz%22	https://bimbingankopas.com/rudhi-risdianto-admin-kopas/	C:/My%20Web%20Sites/Test/bimbingankopas.com/rudhi-risdianto-admin-kopas/index.html	(from )
13:12:54	261033/261033	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20May%202024%2014:32:20%20GMT	https://bimbingankopas.com/wp-content/litespeed/css/dc35024eee0718ac4b768c75f4724add.css?ver=5e9ee	C:/My%20Web%20Sites/Test/bimbingankopas.com/wp-content/litespeed/css/dc35024eee0718ac4b768c75f4724addb948.css	(from https://bimbingankopas.com/rudhi-risdianto-admin-kopas/)
13:12:54	7547/7547	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Apr%202024%2009:46:51%20GMT	https://bimbingankopas.com/wp-content/uploads/2024/01/atbs.jpg	C:/My%20Web%20Sites/Test/bimbingankopas.com/wp-content/uploads/2024/01/atbs.jpg	(from https://bimbingankopas.com/rudhi-risdianto-admin-kopas/)
13:12:55	7751/7751	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Apr%202024%2009:46:52%20GMT	https://bimbingankopas.com/wp-content/uploads/2024/01/cerdas-finansial-2.jpg	C:/My%20Web%20Sites/Test/bimbingankopas.com/wp-content/uploads/2024/01/cerdas-finansial-2.jpg	(from https://bimbingankopas.com/rudhi-risdianto-admin-kopas/)
13:12:55	111144/111144	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Apr%202024%2009:46:56%20GMT	https://bimbingankopas.com/wp-content/uploads/2024/01/sistem-bisnis.jpg	C:/My%20Web%20Sites/Test/bimbingankopas.com/wp-content/uploads/2024/01/sistem-bisnis.jpg	(from https://bimbingankopas.com/rudhi-risdianto-admin-kopas/)
13:12:55	15111/15111	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Apr%202024%2009:47:05%20GMT	https://bimbingankopas.com/wp-content/uploads/2024/01/mentalblock.jpeg	C:/My%20Web%20Sites/Test/bimbingankopas.com/wp-content/uploads/2024/01/mentalblock.jpg	(from https://bimbingankopas.com/rudhi-risdianto-admin-kopas/)
13:12:56	152877/152877	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Apr%202024%2009:52:42%20GMT	https://bimbingankopas.com/wp-content/uploads/2024/01/testimoni-kopas-1.png	C:/My%20Web%20Sites/Test/bimbingankopas.com/wp-content/uploads/2024/01/testimoni-kopas-1.png	(from https://bimbingankopas.com/rudhi-risdianto-admin-kopas/)
13:12:56	109688/109688	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Apr%202024%2009:52:59%20GMT	https://bimbingankopas.com/wp-content/uploads/2024/01/testimoni-kopas-4.jpg	C:/My%20Web%20Sites/Test/bimbingankopas.com/wp-content/uploads/2024/01/testimoni-kopas-4.jpg	(from https://bimbingankopas.com/rudhi-risdianto-admin-kopas/)
13:12:56	109688/109688	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Apr%202024%2009:53:16%20GMT	https://bimbingankopas.com/wp-content/uploads/2024/01/testimoni-kopas-4-1.jpg	C:/My%20Web%20Sites/Test/bimbingankopas.com/wp-content/uploads/2024/01/testimoni-kopas-4-1.jpg	(from https://bimbingankopas.com/rudhi-risdianto-admin-kopas/)
13:12:57	115872/115872	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Apr%202024%2009:53:31%20GMT	https://bimbingankopas.com/wp-content/uploads/2024/01/photo_2024-01-07_06-29-44.jpg	C:/My%20Web%20Sites/Test/bimbingankopas.com/wp-content/uploads/2024/01/photo_2024-01-07_06-29-44.jpg	(from https://bimbingankopas.com/rudhi-risdianto-admin-kopas/)
13:12:57	111607/111607	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Apr%202024%2009:53:39%20GMT	https://bimbingankopas.com/wp-content/uploads/2024/01/testimoni-kopas-2-1.jpg	C:/My%20Web%20Sites/Test/bimbingankopas.com/wp-content/uploads/2024/01/testimoni-kopas-2-1.jpg	(from https://bimbingankopas.com/rudhi-risdianto-admin-kopas/)
13:12:58	55426/55426	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Apr%202024%2009:46:16%20GMT	https://bimbingankopas.com/wp-content/uploads/2024/01/bg-matricgram.jpg	C:/My%20Web%20Sites/Test/bimbingankopas.com/wp-content/uploads/2024/01/bg-matricgram.jpg	(from https://bimbingankopas.com/wp-content/litespeed/css/dc35024eee0718ac4b768c75f4724add.css?ver=5e9ee)
13:12:58	1934/1934	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Apr%202024%2009:46:45%20GMT	https://bimbingankopas.com/wp-content/uploads/2024/01/bg-semen.jpg	C:/My%20Web%20Sites/Test/bimbingankopas.com/wp-content/uploads/2024/01/bg-semen.jpg	(from https://bimbingankopas.com/wp-content/litespeed/css/dc35024eee0718ac4b768c75f4724add.css?ver=5e9ee)
13:12:58	42745/42745	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Apr%202024%2009:47:36%20GMT	https://bimbingankopas.com/wp-content/uploads/2024/01/bg-patternsegitiga.jpg	C:/My%20Web%20Sites/Test/bimbingankopas.com/wp-content/uploads/2024/01/bg-patternsegitiga.jpg	(from https://bimbingankopas.com/wp-content/litespeed/css/dc35024eee0718ac4b768c75f4724add.css?ver=5e9ee)
13:12:58	126/126	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Jan%202024%2005:15:24%20GMT	https://bimbingankopas.com/wp-content/themes/landingpress-wp/assets/images/select-arrow.png	C:/My%20Web%20Sites/Test/bimbingankopas.com/wp-content/themes/landingpress-wp/assets/images/select-arrow.png	(from https://bimbingankopas.com/wp-content/litespeed/css/dc35024eee0718ac4b768c75f4724add.css?ver=5e9ee)
13:12:59	483/483	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Jan%202024%2008:11:43%20GMT	https://bimbingankopas.com/wp-content/plugins/wp-content-copy-protector/images/warning.png	C:/My%20Web%20Sites/Test/bimbingankopas.com/wp-content/plugins/wp-content-copy-protector/images/warning.png	(from https://bimbingankopas.com/wp-content/litespeed/css/dc35024eee0718ac4b768c75f4724add.css?ver=5e9ee)
13:12:59	76167/76167	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Apr%202024%2009:53:44%20GMT	https://bimbingankopas.com/wp-content/uploads/2024/01/pondasibisnis.jpg	C:/My%20Web%20Sites/Test/bimbingankopas.com/wp-content/uploads/2024/01/pondasibisnis.jpg	(from https://bimbingankopas.com/rudhi-risdianto-admin-kopas/)
